from_rushid,to_rushid,label
6317,6316,Indirect relative of
6316,6317,Indirect relative of
1993,51,Indirect relative of
1829,6313,Indirect relative of
6257,6416,Indirect relative of
7024,7798,Indirect relative of
5117,7798,Indirect relative of
7917,7798,Indirect relative of
6970,6638,Indirect relative of
4635,4634,Indirect relative of
4636,4634,Indirect relative of
6457,6617,Indirect relative of
6959,6958,Indirect relative of
6970,5052,Indirect relative of
6970,2885,Indirect relative of
4617,2081,Indirect relative of
2388,2102,Indirect relative of
6952,6535,Indirect relative of
7594,6676,Indirect relative of
1086,4378,Indirect relative of
6638,6970,Indirect relative of
5591,7633,Indirect relative of
7633,5591,Indirect relative of
5611,8746,Indirect relative of
5618,2543,Indirect relative of
7782,2904,Indirect relative of
6357,2060,Indirect relative of
1772,872,Indirect relative of
2207,2039,Indirect relative of
2448,1784,Indirect relative of
784,3705,Indirect relative of
784,3706,Indirect relative of
3705,784,Indirect relative of
3706,784,Indirect relative of
3949,785,Indirect relative of
7175,7176,Indirect relative of
7176,7175,Indirect relative of
787,7176,Indirect relative of
7175,1722,Indirect relative of
787,1722,Indirect relative of
2844,5636,Indirect relative of
5636,2844,Indirect relative of
4701,4497,Indirect relative of
4779,8569,Indirect relative of
6994,7810,Indirect relative of
6994,2497,Indirect relative of
6994,6993,Indirect relative of
6994,9026,Indirect relative of
8069,7842,Indirect relative of
5638,5637,Indirect relative of
4728,8706,Indirect relative of
8146,2601,Indirect relative of
2115,6680,Indirect relative of
6680,2115,Indirect relative of
1530,3384,Indirect relative of
1060,9025,Indirect relative of
7345,7346,Indirect relative of
478,9068,Indirect relative of
7591,1551,Indirect relative of
1563,3415,Indirect relative of
3904,3989,Indirect relative of
3989,3987,Indirect relative of
3987,3989,Indirect relative of
3852,8337,Indirect relative of
1643,1642,Indirect relative of
1643,8616,Indirect relative of
7026,8246,Indirect relative of
8246,7021,Indirect relative of
8246,7020,Indirect relative of
8246,7026,Indirect relative of
8752,2541,Indirect relative of
8752,2540,Indirect relative of
9068,478,Indirect relative of
894,7234,Indirect relative of
4046,3922,Indirect relative of
6805,6802,Indirect relative of
1934,8663,Indirect relative of
2667,7071,Indirect relative of
5078,5077,Indirect relative of
5127,5128,Indirect relative of
5128,5127,Indirect relative of
5265,1990,Indirect relative of
7035,2602,Indirect relative of
7066,7067,Indirect relative of
7067,7066,Indirect relative of
8821,1830,Indirect relative of
1830,8821,Indirect relative of
1015,7355,Indirect relative of
4875,5640,Indirect relative of
2082,1096,Indirect relative of
6160,1954,Indirect relative of
3056,3059,Indirect relative of
2963,8157,Indirect relative of
6115,9301,Indirect relative of
2645,2100,Indirect relative of
7845,9115,Indirect relative of
984,1110,Indirect relative of
1110,984,Indirect relative of
6846,2082,Indirect relative of
4212,6633,Indirect relative of
6769,9005,Indirect relative of
1589,2604,Indirect relative of
1857,3034,Indirect relative of
3034,1857,Indirect relative of
6127,8481,Indirect relative of
2553,2740,Indirect relative of
4168,3017,Indirect relative of
3017,4168,Indirect relative of
3016,4867,Indirect relative of
3016,4866,Indirect relative of
8718,8498,Indirect relative of
7856,52,Indirect relative of
8157,2963,Indirect relative of
9098,1735,Indirect relative of
2088,6293,Indirect relative of
6293,2088,Indirect relative of
1119,2088,Indirect relative of
1405,5313,Indirect relative of
1405,4629,Indirect relative of
15,6456,Indirect relative of
1219,7113,Indirect relative of
7113,1219,Indirect relative of
6623,5676,Indirect relative of
5676,6623,Indirect relative of
6623,5678,Indirect relative of
6623,5677,Indirect relative of
5677,6623,Indirect relative of
5678,6623,Indirect relative of
7546,7611,Indirect relative of
2122,5075,Indirect relative of
7642,6740,Indirect relative of
5983,5229,Indirect relative of
5987,4650,Indirect relative of
7283,7631,Indirect relative of
7283,1026,Indirect relative of
7566,4649,Indirect relative of
959,960,Indirect relative of
959,7291,Indirect relative of
961,2756,Indirect relative of
6033,6637,Indirect relative of
6043,2854,Indirect relative of
6046,7036,Indirect relative of
6059,9184,Indirect relative of
545,8778,Indirect relative of
8844,5665,Indirect relative of
5955,4716,Indirect relative of
7688,1096,Indirect relative of
2136,2208,Indirect relative of
7688,2208,Indirect relative of
936,2208,Indirect relative of
2208,2136,Indirect relative of
2208,936,Indirect relative of
2208,7688,Indirect relative of
5964,2116,Indirect relative of
6394,5964,Indirect relative of
4955,736,Indirect relative of
736,4955,Indirect relative of
736,4957,Indirect relative of
4957,736,Indirect relative of
8808,2449,Indirect relative of
2449,8808,Indirect relative of
8776,9263,Indirect relative of
9263,8776,Indirect relative of
2507,2569,Indirect relative of
2507,3476,Indirect relative of
3476,2507,Indirect relative of
4828,4829,Indirect relative of
4232,4231,Indirect relative of
6865,7379,Indirect relative of
6865,1761,Indirect relative of
270,9304,Indirect relative of
8444,2244,Indirect relative of
9040,2626,Indirect relative of
8335,2703,Indirect relative of
2703,8335,Indirect relative of
7613,8949,Indirect relative of
6444,5040,Indirect relative of
1524,2249,Indirect relative of
8809,2912,Indirect relative of
2339,2290,Indirect relative of
2888,1937,Indirect relative of
4436,6916,Indirect relative of
4436,8574,Indirect relative of
6890,2153,Indirect relative of
6919,2311,Indirect relative of
2153,2278,Indirect relative of
6319,5768,Indirect relative of
2885,6970,Indirect relative of
4530,2370,Indirect relative of
4586,4585,Indirect relative of
4614,4613,Indirect relative of
4634,4635,Indirect relative of
4634,4636,Indirect relative of
1081,9003,Indirect relative of
744,6431,Indirect relative of
1496,1859,Indirect relative of
1496,6548,Indirect relative of
1951,1549,Indirect relative of
1273,6449,Indirect relative of
1273,1647,Indirect relative of
1951,1550,Indirect relative of
7162,6479,Indirect relative of
764,2571,Indirect relative of
764,2572,Indirect relative of
2571,764,Indirect relative of
6479,6464,Indirect relative of
