from_politician_id,from_name,from_rushid,to_politician_id,to_name,to_rushid,relation,source
Q6250233,John Gladstone,6819,Q160852,William Ewart Gladstone,,sibling,wikidata
Q6250233,John Gladstone,6819,Q7529140,"Sir Thomas Gladstone, 2nd Baronet",,sibling,wikidata
Q13529912,John Gordon,1770,Q1282069,"Edward Gordon, Baron Gordon of Drumearn",,father,wikidata
Q6236086,John Gray,1724,Q1286201,Edmund Dwyer Gray,,child,wikidata
Q4148675,"John Gretton, 1st Baron Gretton",1804,Q6236294,"John Gretton, 2nd Baron Gretton",,child,wikidata
Q6236294,"John Gretton, 2nd Baron Gretton",,Q4148675,"John Gretton, 1st Baron Gretton",,father,wikidata
Q6236441,"John Grimston, 6th Earl of Verulam",8678,Q7344973,"Robert Grimston, 1st Baron Grimston of Westbury",8863,cousin,rush
Q333635,John Gummer,324,Q392174,Ben Gummer,,child,wikidata
Q11801484,John Gurdon Rebow,742,Q7345003,"Robert Gurdon, 1st Baron Cranworth",,nephew/niece,wikidata
Q11801484,John Gurdon Rebow,742,Q21554127,Brampton Gurdon,,sibling,wikidata
Q24254779,John Hales Calcraft,6619,Q26267738,John Calcraft,,child,wikidata
Q24254779,John Hales Calcraft,6619,Q6224784,John Calcraft,,father,wikidata
Q24254779,John Hales Calcraft,6619,Q24254838,Granby Calcraft,,sibling,wikidata
Q6237583,John Handley,4245,Q4888762,Benjamin Handley,4244,cousin,rush
Q6237583,John Handley,4245,Q26234470,Henry Handley,4242,cousin,rush
Q6237583,John Handley,4245,Q11802744,William Farnworth Handley,4243,cousin,rush
Q6237751,John Hardy,6451,Q7527819,"Sir John Hardy, 1st Baronet",,child,wikidata
Q6237751,John Hardy,6451,Q5527395,"Gathorne Gathorne-Hardy, 1st Earl of Cranbrook",,child,wikidata
Q6237751,John Hardy,6451,Q6500633,Laurence Hardy,,grandchild,wikidata
Q6237751,John Hardy,6451,Q4722710,Alfred Gathorne-Hardy,,grandchild,wikidata
Q6237751,John Hardy,6451,Q13529906,"John Gathorne-Hardy, 2nd Earl of Cranbrook",,grandchild,wikidata
Q6679443,John Hay,2240,Q26387320,Thomas Hay,,child,wikidata
Q6679443,John Hay,2240,Q5540333,"George Hay, Earl of Gifford",,sibling,wikidata
Q6679443,John Hay,2240,Q8011045,"William Hay, 10th Marquess of Tweeddale",,sibling,wikidata
Q11803195,"John Henniker-Major, 4th Baron Henniker",4334,Q6238687,"John Henniker-Major, 5th Baron Henniker",,child,wikidata
Q6238687,"John Henniker-Major, 5th Baron Henniker",4333,Q11803195,"John Henniker-Major, 4th Baron Henniker",,father,wikidata
Q6238860,John Henry Knox,,Q8014090,William Knox,,nephew/niece,wikidata
Q6238860,John Henry Knox,,Q7791585,"Thomas Knox, 3rd Earl of Ranfurly",,nephew/niece,wikidata
Q6238860,John Henry Knox,,Q7791584,"Thomas Knox, 2nd Earl of Ranfurly",,sibling,wikidata
Q6238860,John Henry Knox,,Q22344373,James Knox,,sibling,wikidata
Q6238954,John Henry Thorpe,5983,Q334102,Jeremy Thorpe,,child,wikidata
Q6238967,John Henry Vivian,7313,Q4800546,Arthur Vivian,,child,wikidata
Q6238967,John Henry Vivian,7313,Q12072266,"Henry Vivian, 1st Baron Swansea",,child,wikidata
Q6238967,John Henry Vivian,7313,Q5083146,"Charles Vivian, 2nd Baron Vivian",,nephew/niece,wikidata
Q6238967,John Henry Vivian,7313,Q6227494,John Vivian,,nephew/niece,wikidata
Q6238967,John Henry Vivian,7313,Q3787726,"Hussey Vivian, 1st Baron Vivian",,sibling,wikidata
Q332595,"John Hobhouse, 1st Baron Broughton",6897,Q7790721,Thomas Benjamin Hobhouse,,sibling,wikidata
Q332595,"John Hobhouse, 1st Baron Broughton",6897,Q26734725,Henry Hobhouse,,sibling,wikidata
Q6239482,John Hodgetts-Foley,6791,Q5723097,Henry Hodgetts-Foley,,child,wikidata
Q6239482,John Hodgetts-Foley,6791,Q5345591,Edward Thomas Foley,,sibling,wikidata
Q26690970,John Hornby,6910,Q7529634,"Sir William Hornby, 1st Baronet",,nephew/niece,wikidata
Q26690970,John Hornby,6910,Q8012049,William Henry Hornby,,sibling,wikidata
Q6240076,John Howard Parnell,2728,Q317436,Charles Stewart Parnell,,sibling,wikidata
Q6240199,"John Hubbard, 1st Baron Addington",2322,Q5347780,"Egerton Hubbard, 2nd Baron Addington",,child,wikidata
Q6240199,"John Hubbard, 1st Baron Addington",2322,Q5416349,Evelyn Hubbard,,child,wikidata
Q6240846,John Ireland Blackburne,6434,Q6240848,John Ireland Blackburne,,child,wikidata
Q6240848,John Ireland Blackburne,1227,Q6240846,John Ireland Blackburne,,father,wikidata
Q332783,"John Jacob Astor, 1st Baron Astor of Hever",3054,Q6219659,John Astor,,child,wikidata
Q332783,"John Jacob Astor, 1st Baron Astor of Hever",3054,Q2580935,"William Astor, 3rd Viscount Astor",,nephew/niece,wikidata
Q332783,"John Jacob Astor, 1st Baron Astor of Hever",3054,Q6828289,Michael Astor,,nephew/niece,wikidata
Q332783,"John Jacob Astor, 1st Baron Astor of Hever",3054,Q6125171,Jakie Astor,,nephew/niece,wikidata
Q332783,"John Jacob Astor, 1st Baron Astor of Hever",3054,Q2619726,"Waldorf Astor, 2nd Viscount Astor",,sibling,wikidata
Q15456740,John Jervis,4517,Q26722172,John Jervis,,child,wikidata
Q15456740,John Jervis,4517,Q26321345,Swynfen Jervis,4518,cousin,rush
Q26722172,John Jervis,4519,Q15456740,John Jervis,,father,wikidata
Q6242146,John Joseph Esmonde,6476,Q7527764,"Sir John Esmonde, 14th Baronet",,child,wikidata
Q6242277,John Josiah Guest,6852,Q6904116,Montague Guest,,child,wikidata
Q6242277,John Josiah Guest,6852,Q4798916,Arthur Guest,,child,wikidata
Q6242888,John Kenneth Foster,7393,Q7184420,Philip Staveley Foster,7395,cousin,rush
Q6244393,John Lee Lee,6977,Q7917288,Vaughan Vaughan-Lee,,child,wikidata
Q6679449,John Lennox,4699,Q2865197,Lord Arthur Lennox,,sibling,wikidata
Q6679449,John Lennox,4699,Q6680026,William Lennox,,sibling,wikidata
Q5590921,John Lewis Ricardo,5565,Q5239023,David Ricardo,5566,cousin,rush
Q5590921,John Lewis Ricardo,5565,Q26204048,Osman Ricardo,5563,cousin,rush
Q6245083,John Loch,,Q6138142,James Loch,,sibling,wikidata
Q3182815,"John Loder, 2nd Baron Wakehurst",8069,Q5549352,"Gerald Loder, 1st Baron Wakehurst",,father,wikidata
Q3182815,"John Loder, 2nd Baron Wakehurst",8069,Q7528805,"Sir Robert Loder, 1st Baronet",,grandparent,wikidata
Q6245664,"John Lyttelton, 9th Viscount Cobham",4808,Q2892622,"Oliver Lyttelton, 1st Viscount Chandos",4809,cousin,rush
Q6245664,"John Lyttelton, 9th Viscount Cobham",4808,Q1026930,"Charles Lyttelton, 8th Viscount Cobham",,father,wikidata
Q6246032,John Maberly,,Q8014397,William Leader Maberly,,child,wikidata
Q26691275,John Mackie,7001,Q26691198,James Mackie,,child,wikidata
Q15976329,"John Mackie, Baron John-Mackie",8680,Q1507828,"George Mackie, Baron Mackie of Benshie",,sibling,wikidata
Q6246292,"John Maclay, 1st Viscount Muirshiel",4856,Q6285208,"Joseph Maclay, 2nd Baron Maclay",,sibling,wikidata
Q2086683,"John Manners, 7th Duke of Rutland",2568,Q13529987,Lord Cecil Manners,,child,wikidata
Q2086683,"John Manners, 7th Duke of Rutland",2568,Q3784973,"Henry Manners, 8th Duke of Rutland",,child,wikidata
Q2086683,"John Manners, 7th Duke of Rutland",2568,Q6679211,Lord Edward Manners,,child,wikidata
Q2086683,"John Manners, 7th Duke of Rutland",2568,Q13529986,Lord George Manners,,sibling,wikidata
Q2086683,"John Manners, 7th Duke of Rutland",2568,Q3666446,"Charles Manners, 6th Duke of Rutland",,sibling,wikidata
Q334234,"John Manners-Sutton, 3rd Viscount Canterbury",5931,Q334203,"Charles Manners-Sutton, 1st Viscount Canterbury",,father,wikidata
Q6246844,John Marshall,9106,Q6134516,James Garth Marshall,,sibling,wikidata
Q6246844,John Marshall,9106,Q8015152,William Marshall,,sibling,wikidata
Q19325553,John Martin,,Q26611669,John Martin,,child,wikidata
Q26611669,John Martin,6429,Q19325553,John Martin,,father,wikidata
Q6247503,"John McClintock, 1st Baron Rathdonnell",4983,Q8015338,William McClintock-Bunbury,,sibling,wikidata
Q6248044,John McLaren,2541,Q5314516,Duncan McLaren,,father,wikidata
Q6248044,John McLaren,2541,Q5725740,Henry McLaren,,nephew/niece,wikidata
Q6248044,John McLaren,2541,Q5481905,Francis McLaren,,nephew/niece,wikidata
Q6248044,John McLaren,2541,Q7965601,Walter McLaren,,sibling,wikidata
Q6248044,John McLaren,2541,Q5080854,"Charles McLaren, 1st Baron Aberconway",,sibling,wikidata
Q337464,"John Montagu Douglas Scott, 7th Duke of Buccleuch",2018,Q2602495,"Walter Montagu Douglas Scott, 8th Duke of Buccleuch",,child,wikidata
Q337464,"John Montagu Douglas Scott, 7th Duke of Buccleuch",2018,Q6680030,Lord William Montagu Douglas Scott,,child,wikidata
Q337464,"John Montagu Douglas Scott, 7th Duke of Buccleuch",2018,Q337468,"William Montagu Douglas Scott, 6th Duke of Buccleuch",,father,wikidata
Q337464,"John Montagu Douglas Scott, 7th Duke of Buccleuch",2018,Q333214,"John Scott, 9th Duke of Buccleuch",,grandchild,wikidata
Q6249506,"John Morrison, 1st Baron Margadale",8702,Q7175955,Peter Morrison,,child,wikidata
Q6249506,"John Morrison, 1st Baron Margadale",8702,Q5081103,Charles Morrison,,child,wikidata
