ego,ego_name,alter,alter_name,relation,source
Q5346368,Edwin Durning-Lawrence,Q8014353,William Lawrence,sibling,panel;rush
Q5346516,"Edwin Hill-Trevor, 1st Baron Trevor",Q4799073,"Arthur Hill, 4th Marquess of Downshire",sibling,panel;rush
Q5346516,"Edwin Hill-Trevor, 1st Baron Trevor",Q4799074,Arthur Hill,indirect,rush
Q5346516,"Edwin Hill-Trevor, 1st Baron Trevor",Q6678928,Arthur Hill,niece/nephew;uncle/aunt,panel;rush
Q5346516,"Edwin Hill-Trevor, 1st Baron Trevor",Q6758436,"Marcus Sandys, 3rd Baron Sandys",uncle/aunt,rush
Q5346601,Edwin Lascelles,Q26237500,Egremont Lascelles,niece/nephew,rush
Q5346601,Edwin Lascelles,Q8014327,William Lascelles,sibling,panel;rush
Q5346929,"Edwin Wyndham-Quin, 3rd Earl of Dunraven and Mount-Earl",Q8024207,"Windham Wyndham-Quin, 5th Earl of Dunraven and Mount-Earl",indirect,rush
Q5347780,"Egerton Hubbard, 2nd Baron Addington",Q5416349,Evelyn Hubbard,sibling,panel;rush
Q5347780,"Egerton Hubbard, 2nd Baron Addington",Q6240199,"John Hubbard, 1st Baron Addington",child;parent,panel;rush
Q5347782,Egerton Leigh,Q15458169,John Smith,indirect,rush
Q5359607,"Hugh Fortescue, 2nd Earl Fortescue",Q5311875,Dudley Fortescue,parent,panel
Q5359607,"Hugh Fortescue, 2nd Earl Fortescue",Q5930808,"Hugh Fortescue, 4th Earl Fortescue",grandchild;grandparent,panel;rush
Q5359607,"Hugh Fortescue, 2nd Earl Fortescue",Q5930822,"Hugh Fortescue, 3rd Earl Fortescue",child;parent,panel;rush
Q5359607,"Hugh Fortescue, 2nd Earl Fortescue",Q6233713,John William Fortescue,parent,panel
Q5359607,"Hugh Fortescue, 2nd Earl Fortescue",Q7020238,"Newton Fellowes, 4th Earl of Portsmouth",indirect,rush
Q5360991,Elijah Sandham,Q7343988,Robert Edwards,indirect,rush
Q5361224,Eliot Crawshay-Williams,Q4799273,Arthur John Williams,child,panel
Q5361267,Eliot Yorke,Q337983,"Charles Yorke, 5th Earl of Hardwicke",niece/nephew;uncle/aunt,panel;rush
Q5361267,Eliot Yorke,Q5083776,"Charles Yorke, 4th Earl of Hardwicke",sibling,panel;rush
Q5361267,Eliot Yorke,Q5365591,Elliot Yorke,niece/nephew;uncle/aunt,panel;rush
Q5361267,Eliot Yorke,Q6249777,Joseph Sydney Yorke,child,panel
Q5365591,Elliot Yorke,Q337983,"Charles Yorke, 5th Earl of Hardwicke",sibling,panel;rush
