politician_id,politician_name,rushid,has_relative,n_relatives_detected,multiple_relatives,closeness,relation_types,relative_chamber,peerage_linked_flag,relative_sources,relative_examples
Q7964877,Walter Frederick Campbell,6626,0,0,0,,,,1,,
Q7965000,Walter Green,8302,0,0,0,,,,0,,
Q7965016,Walter Guthrie,4203,0,0,0,,,,0,,
Q7965084,Walter Harrison,8930,0,0,0,,,,0,,
Q7965141,Walter Higgs,4355,0,0,0,,,,0,,
Q7965183,Walter Hudson,1904,0,0,0,,,,0,,
Q7965251,"Walter James, 2nd Baron Northbourne",2352,1,3,1,parent,parent;child;niece/nephew,HoC,1,panel;rush,"Charles Hardinge, 2nd Viscount Hardinge;Cuthbert James;Walter James, 1st Baron Northbourne"
Q7965252,"Walter James, 1st Baron Northbourne",6933,1,3,1,parent,parent;child;sibling;grandparent,HoC,1,panel;rush,"Charles Hardinge, 2nd Viscount Hardinge;Cuthbert James;Walter James, 2nd Baron Northbourne"
Q7965281,Walter John Stanton,903,0,0,0,,,,0,,
Q7965289,Walter Johnson,8933,0,0,0,,,,0,,
Q7965453,Walter Liddall,4714,0,0,0,,,,0,,
Q7965490,Walter Loveys,4767,0,0,0,,,,0,,
Q7965529,Walter MacMurrough Kavanagh,7486,1,2,1,parent,parent;child;grandparent;grandchild,HoC,1,panel;rush,Thomas Kavanagh;Arthur MacMorrough Kavanagh
Q7965601,Walter McLaren,2880,1,6,1,parent,parent;child;sibling;uncle/aunt;niece/nephew;indirect,HoC,1,panel;rush,"Charles McLaren, 1st Baron Aberconway;Duncan McLaren;Francis McLaren;Henry McLaren;John McLaren;Martin McLaren"
Q7965618,Walter Menzies,7686,0,0,0,,,,0,,
Q7965658,"Walter Monslow, Baron Monslow",5093,0,0,0,,,,1,,
Q7965678,Walter Morrison,2636,1,1,0,parent,parent;child,HoC,1,panel;rush,James Morrison
Q7965776,Walter Padley,5305,0,0,0,,,,0,,
Q7965814,"Walter Pelham, 4th Earl of Chichester",2742,1,2,1,niece/nephew,niece/nephew;indirect,HoC,1,rush,Abel Henry Smith;Abel Smith
Q7965820,Walter Perkins,8936,0,0,0,,,,0,,
Q7965863,Walter Powell,2783,0,0,0,,,,0,,
Q7965869,Walter Preston,5450,0,0,0,,,,0,,
Q7965930,"Walter Rea, 1st Baron Rea",5526,1,1,0,parent,parent;child,HoC,1,panel;rush,Russell Rea
Q7965958,"Walter Rice, 7th Baron Dynevor",5569,1,1,0,parent,parent;child,HoC,1,panel;rush,"Charles Rhys, 8th Baron Dynevor"
Q7965962,W. R. H. Powell,2784,1,1,0,grandchild,grandchild,HoC,0,rush,Walter Roch
Q7965984,Walter Robert Smith,8305,0,0,0,,,,0,,
Q7965993,Walter Roch,5591,1,2,1,grandparent,grandparent;indirect,HoC,0,rush,"Ivor Herbert, 1st Baron Treowen;W. R. H. Powell"
Q7966016,"Walter Runciman, 1st Baron Runciman",5637,1,2,1,parent,parent;child;indirect,HoC,1,panel;rush,"Walter Runciman, 1st Viscount Runciman of Doxford;Hilda Runciman, Viscountess Runciman of Doxford"
Q7966093,Walter Scott-Elliot,5049,0,0,0,,,,0,,
Q7966131,Walter Shirley,853,0,0,0,,,,0,,
Q7966175,Walter Spencer-Stanhope,895,0,0,0,,,,1,,
Q7966224,Walter Styles,5910,0,0,0,,,,0,,
Q7966235,Walter Sweeney,5936,0,0,0,,,,0,,
Q7966313,Walter Tuckfield Goldsworthy,1697,0,0,0,,,,0,,
Q7966333,Walter Faber,9137,1,2,1,sibling,sibling,HoC,1,panel;rush,"Edmund Faber, 1st Baron Faber;George Faber, 1st Baron Wittenham"
Q7966382,Walter Waring,8298,1,1,0,parent,parent;child,HoC,0,panel;rush,Charles Waring
Q7966425,Walter William Shaw,8307,0,0,0,,,,0,,
Q7966439,Walter Windsor,6227,0,0,0,,,,0,,
Q7966455,Walter Wren,6266,0,0,0,,,,0,,
Q7966505,Walter de Frece,3696,0,0,0,,,,0,,
Q7971109,Warwick Brookes,3357,0,0,0,,,,0,,
Q7981501,"Wellington Stapleton-Cotton, 2nd Viscount Combermere",6678,0,0,0,,,,1,,
Q7981803,Wellwood Herries Maxwell,2585,0,0,0,,,,1,,
